"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"129","58","STRING Clusters","","Steroid hormone biosynthesis, and Oxidation by cytochrome P450","9.92E-61","HSD17B2|SULT2B1|STS|CYP3A5|SULT1E1|AKR1D1|UGT2A3|HSD17B7|MSMO1|SRD5A3|UGT2B10|SRD5A1|SIGMAR1|CYP11B1|CYP2A6|CYP7A1|UGT1A6|UGT2B7|UGT1A1|UGT2B4|CYP2S1|CYP4A11|UGT2B17|CYP2B6|CYP11B2|CYP2A13|UGT2B28|CYP3A7|UGT2B15|CYP1A2|UGT1A10|UGT1A9|DHCR7|HSD11B1|SOAT1|HSD3B1|CYP17A1|CYP2C8|CYP4A22|UGT1A4|UGT1A5|UGT1A7|UGT1A8|AKR1C4|AKR1C3|AKR1C1|IDI1|CYP19A1|UGT2B11|UGT1A3|CYP2E1|HSD3B2|HSD17B6|UGT2A2|SRD5A2|ENSP00000480571|CYP26C1|CYP3A4","128","1013|1163|1214|1088|1118|1076|1679|1124|2414|1106|1700|1154|493|1094|1346|1226|1022|1034|1016|1718|1283|1694|1046|1295|1070|1337|1706|1205|1052|331|1058|1742|1169|352|472|1133|1148|1724|1652|1028|1664|1760|1040|1463|286|1472|466|310|1670|1733|1178|1142|1064|1688|1112|1196|1631|1082","2.17E-64","","CL:9386","6.000348832784582","0"
"60","47","KEGG Pathways","","Steroid hormone biosynthesis","3.87E-58","HSD17B2|SULT2B1|STS|CYP3A5|SULT1E1|AKR1D1|UGT2A3|HSD17B7|SRD5A3|UGT2B10|SRD5A1|CYP11B1|CYP7A1|UGT1A6|UGT2B7|UGT1A1|UGT2B4|UGT2B17|CYP11B2|UGT2B28|CYP3A7|UGT2B15|CYP1A2|UGT1A10|UGT1A9|HSD11B1|HSD3B1|CYP17A1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|AKR1C4|AKR1C3|AKR1C1|CYP1A1|CYP19A1|UGT2B11|UGT1A3|CYP2E1|HSD3B2|HSD17B6|UGT2A2|SRD5A2|CYP1B1|ENSP00000480571|CYP3A4","128","1013|1163|1214|1088|1118|1076|1679|1124|1106|1700|1154|1094|1226|1022|1034|1016|1718|1046|1070|1706|1205|1052|331|1058|1742|352|1133|1148|1028|1664|1760|1040|1463|286|1472|337|310|1670|1733|1178|1142|1064|1688|1112|1100|1196|1082","1.15E-60","","hsa00140","5.741228903498109","0"
"71","48","STRING Clusters","","Steroid hormone biosynthesis, and Arachidonic acid monooxygenase activity","1.56E-56","HSD17B2|CYP3A5|SULT1E1|UGT2A3|SRD5A3|UGT2B10|SRD5A1|CYP11B1|CYP2A6|UGT1A6|UGT2B7|UGT1A1|UGT2B4|CYP2S1|CYP4A11|UGT2B17|CYP2B6|CYP11B2|CYP2A13|UGT2B28|CYP3A7|UGT2B15|CYP1A2|UGT1A10|UGT1A9|HSD11B1|HSD3B1|CYP17A1|CYP2C8|CYP4A22|UGT1A4|UGT1A5|UGT1A7|UGT1A8|AKR1C4|AKR1C3|AKR1C1|CYP19A1|UGT2B11|UGT1A3|CYP2E1|HSD3B2|HSD17B6|UGT2A2|SRD5A2|ENSP00000480571|CYP26C1|CYP3A4","128","1013|1088|1118|1679|1106|1700|1154|1094|1346|1022|1034|1016|1718|1283|1694|1046|1295|1070|1337|1706|1205|1052|331|1058|1742|352|1133|1148|1724|1652|1028|1664|1760|1040|1463|286|1472|310|1670|1733|1178|1142|1064|1688|1112|1196|1631|1082","1.02E-59","","CL:9388","5.580687540164554","0"
"1435","115","KEGG Pathways","","Metabolic pathways","3.85E-56","HSD17B2|SIRT4|GSTA3|DHDH|NAMPT|CYP3A5|NT5C1A|GSTM2|AKR1D1|PLA2G12A|NT5C|ALOX12|UGT2A3|HSD17B7|GSTM5|MSMO1|ASPA|CAD|PI4K2B|PDE8B|BST1|UGT2B10|PDE3B|MARS2|AKR1B1|PDE11A|CYP11B1|LTC4S|ALOX15|HPGDS|CYP2A6|CYP7A1|ENTPD3|UGT1A6|DCXR|UGT2B7|UGT1A1|UGT2B4|CYP2S1|CYP4A11|EZH2|UGT2B17|CYP2B6|CYP11B2|TPH2|UPP1|UGT2B28|TMLHE|GSTA1|CYP3A7|NT5C2|UGT2B15|CYP1A2|PTGES|UGT1A10|UGT1A9|DHCR7|NT5C1B|GSTM3|PNP|HSD11B1|PI4KB|HSD3B1|GSTM4|CYP17A1|GSTA4|GSTA5|CYP2C8|ENTPD8|CYP4A22|UCK1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|ALOX5|PLA2G2D|NMRK1|PIK3CD|AKR1C4|AKR1C3|ASMT|IDI1|NT5M|ASPDH|PDE8A|CYP1A1|TYMP|MGST1|CYP19A1|ADA2|UGT2B11|NT5C3B|NAPRT|ENPP3|UGT1A3|GSTA2|NT5C1B-RDH14|CYP2E1|NNMT|ADK|HSD3B2|HSD17B6|ACLY|UPP2|UGT2A2|NT5C3A|NMRK2|ENSP00000480571|MGST2|INPP5F|ENPP1|CYP26C1|CYP3A4|PIK3CB","128","1013|1232|1265|1457|247|1088|1547|1301|1076|2216|1535|2291|1679|1124|1325|2414|2636|499|1496|2723|1256|1700|2237|1943|283|3068|1094|3128|2300|1319|1346|1226|3008|1022|3062|1034|1016|1718|1283|1694|220|1046|1295|1070|2603|1982|1706|490|1364|1205|1559|1052|331|2228|1058|1742|1169|1529|1289|250|352|418|1133|1277|1148|1307|1271|1724|1952|1652|475|1028|1664|1760|1040|358|361|1586|1520|1463|286|4607|466|1553|2639|2738|337|1973|1331|310|1958|1670|2003|1574|1235|1733|1370|1541|1178|1250|346|1142|1064|394|1994|1688|2009|1568|1196|1313|1481|1241|1631|1082|1514","2.29E-58","","hsa01100","5.54145392704915","0"
"2092","131","Reactome Pathways","","Metabolism","9.42E-53","HSD17B2|SULT2B1|GSTA3|STS|PIK3R2|NAMPT|CYP3A5|SULT1E1|NT5C1A|GSTM2|AHR|AKR1D1|PLA2G12A|NT5C|ALOX12|UGT2A3|ABCB7|HSD17B7|GSTM5|PSMB7|MSMO1|PIK3R3|ASPA|SRD5A3|CAD|PI4K2B|BST1|UGT2B10|NCOR1|SRD5A1|PLA2R1|AKR1B1|PSMB4|CYP11B1|LTC4S|ALOX15|HPGDS|CYP2A6|CYP7A1|ENTPD3|UGT1A6|DCXR|UGT2B7|UGT1A1|UGT2B4|CYP2S1|CYP4A11|UGT2B17|AHRR|CYP2B6|KARS1|CYP11B2|TPH2|UPP1|CYP2A13|UGT2B28|TMLHE|GSTA1|CYP3A7|PSMF1|NT5C2|UGT2B15|CYP1A2|PTGES|UGT1A10|UGT1A9|DHCR7|NT5C1B|GSTM3|PNP|HSD11B1|THEM4|PI4KB|HSD3B1|GSTM4|CYP17A1|SARS1|GSTA4|GSTA5|CYP2C8|ENTPD8|CYP4A22|UCK1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|ALOX5|PLA2G2D|NMRK1|PIK3CD|AKR1C4|AKR1C3|AKR1C1|ASMT|IDI1|SEC13|NT5M|PRKAR1A|CYP1A1|TYMP|MGST1|CYP19A1|NCOR2|NCOA1|PSMB11|UGT2B11|NCOA2|NAPRT|ENPP3|UGT1A3|GSTA2|CYP2E1|NNMT|ADK|HSD3B2|AKT1|ACLY|UPP2|NT5C3A|SRD5A2|CYP1B1|NMRK2|MGST2|INPP5F|ENPP1|CYP26C1|MED19|CYP3A4|NR1H2|PIK3CB","128","1013|1163|1265|1214|1478|247|1088|1118|1547|1301|2096|1076|2216|1535|2291|1679|478|1124|1325|256|2414|1508|2636|1106|499|1496|1256|1700|1007|1154|3053|283|259|1094|3128|2300|1319|1346|1226|3008|1022|3062|1034|1016|1718|1283|1694|1046|3986|1295|316|1070|2603|1982|1337|1706|490|1364|1205|2531|1559|1052|331|2228|1058|1742|1169|1529|1289|250|352|4991|418|1133|1277|1148|1925|1307|1271|1724|1952|1652|475|1028|1664|1760|1040|358|361|1586|1520|1463|286|1472|4607|466|427|1553|403|337|1973|1331|310|1001|2099|1880|1670|2105|1574|1235|1733|1370|1178|1250|346|1142|301|394|1994|2009|1112|1100|1568|1313|1481|1241|1631|415|1082|412|1514","4.12E-56","","HSA-1430728","5.2025949097207125","0"
"69","43","KEGG Pathways","","Metabolism of xenobiotics by cytochrome P450","2.78E-50","GSTA3|DHDH|CYP3A5|GSTM2|UGT2A3|GSTM5|UGT2B10|HPGDS|CYP2A6|UGT1A6|UGT2B7|UGT1A1|UGT2B4|CYP2S1|UGT2B17|CYP2B6|CYP2A13|UGT2B28|GSTA1|UGT2B15|CYP1A2|UGT1A10|UGT1A9|GSTM3|HSD11B1|GSTM4|GSTA4|GSTA5|UGT1A4|UGT1A5|UGT1A7|UGT1A8|AKR1C1|CYP1A1|MGST1|UGT2B11|UGT1A3|GSTA2|CYP2E1|UGT2A2|CYP1B1|MGST2|CYP3A4","128","1265|1457|1088|1301|1679|1325|1700|1319|1346|1022|1034|1016|1718|1283|1046|1295|1337|1706|1364|1052|331|1058|1742|1289|352|1277|1307|1271|1028|1664|1760|1040|1472|337|1331|1670|1733|1370|1178|1688|1100|1313|1082","2.48E-52","","hsa00980","4.955595520408193","0"
"1645","115","GO Biological Process","","Small molecule metabolic process","2.56E-48","SULT2B1|SIRT4|DHDH|NAMPT|CYP3A5|SULT1E1|WARS2|NT5C1A|GSTM2|AKR1D1|NT5C|CDADC1|ALOX12|UGT2A3|HSD17B7|NARS1|MSMO1|ASPA|SRD5A3|CAD|PDE8B|UGT2B10|SRD5A1|NARS2|MARS2|AKR1B1|CYP11B1|LTC4S|ALOX15|HPGDS|CYP2A6|CYP7A1|ENTPD3|UGT1A6|DCXR|UGT2B7|UGT1A1|UGT2B4|CYP2S1|CYP4A11|UGT2B17|CYP2B6|KARS1|CYP11B2|TPH2|UPP1|CYP2A13|UGT2B28|GSTA1|CYP3A7|TARS3|NT5C2|UGT2B15|CYP1A2|PTGES|UGT1A10|UGT1A9|WARS1|DHCR7|NT5C1B|PNP|SOAT1|THEM4|GSTM4|CYP17A1|SARS1|CYP2C8|PARS2|ENTPD8|CYP4A22|UCK1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|ALOX5|NMRK1|AKR1C4|AKR1C3|AKR1C1|IDI1|NT5M|ASPDH|GARS1|PDE8A|CYP1A1|TYMP|CYP19A1|ADA2|UGT2B11|NT5C3B|NAPRT|ENPP3|UGT1A3|NT5C1B-RDH14|CYP2E1|NNMT|ADK|HSD17B6|AKT1|ACLY|SARS2-2|SARS2|UPP2|UGT2A2|NT5C3A|SRD5A2|CYP1B1|NMRK2|MGST2|PDE8B-2|HARS2|ENPP1|CYP26C1|CYP3A4","128","1163|1232|1457|247|1088|1118|1886|1547|1301|1076|1535|457|2291|1679|1124|1898|2414|2636|1106|499|2723|1700|1154|1913|1943|283|1094|3128|2300|1319|1346|1226|3008|1022|3062|1034|1016|1718|1283|1694|1046|1295|316|1070|2603|1982|1337|1706|1364|1205|1889|1559|1052|331|2228|1058|1742|325|1169|1529|250|472|4991|1277|1148|1925|1724|1937|1952|1652|475|1028|1664|1760|1040|358|1586|1463|286|1472|466|1553|2639|1904|2738|337|1973|310|1958|1670|2003|1574|1235|1733|1541|1178|1250|346|1064|301|394|1919|1931|1994|1688|2009|1112|1100|1568|1313|5654|319|1241|1631|1082","1.63E-52","","GO:0044281","4.759176003468815","0"
"180","53","WikiPathways","","Metapathway biotransformation Phase I and II","7.5E-48","SULT2B1|GSTA3|CYP3A5|SULT1E1|GSTM2|AKR1D1|UGT2A3|GSTM5|AKR1B1|CYP11B1|CYP2A6|CYP7A1|UGT1A6|UGT2B7|UGT1A1|UGT2B4|CYP2S1|UGT2B17|CYP2B6|CYP11B2|CYP2A13|UGT2B28|GSTA1|CYP3A7|UGT2B15|CYP1A2|UGT1A10|UGT1A9|GSTM3|GSTM4|CYP17A1|GSTA4|GSTA5|CYP2C8|UGT1A4|UGT1A5|UGT1A7|AKR1C4|AKR1C3|AKR1C1|CYP1A1|MGST1|CYP19A1|UGT2B11|UGT1A3|GSTA2|CYP2E1|NNMT|UGT2A2|CYP1B1|MGST2|CYP26C1|CYP3A4","128","1163|1265|1088|1118|1301|1076|1679|1325|283|1094|1346|1226|1022|1034|1016|1718|1283|1046|1295|1070|1337|1706|1364|1205|1052|331|1058|1742|1289|1277|1148|1307|1271|1724|1028|1664|1760|1463|286|1472|337|1331|310|1670|1733|1370|1178|1250|1688|1100|1313|1631|1082","9.6E-51","","WP702","4.71249387366083","0"
"76","42","KEGG Pathways","","Chemical carcinogenesis","1.62E-47","GSTA3|CYP3A5|GSTM2|UGT2A3|GSTM5|UGT2B10|HPGDS|CYP2A6|UGT1A6|UGT2B7|UGT1A1|UGT2B4|UGT2B17|CYP2A13|UGT2B28|GSTA1|CYP3A7|UGT2B15|CYP1A2|UGT1A10|UGT1A9|GSTM3|HSD11B1|GSTM4|GSTA4|GSTA5|CYP2C8|UGT1A4|UGT1A5|UGT1A7|UGT1A8|CYP1A1|MGST1|UGT2B11|UGT1A3|GSTA2|CYP2E1|UGT2A2|CYP1B1|ENSP00000480571|MGST2|CYP3A4","128","1265|1088|1301|1679|1325|1700|1319|1346|1022|1034|1016|1718|1046|1337|1706|1364|1205|1052|331|1058|1742|1289|352|1277|1307|1271|1724|1028|1664|1760|1040|337|1331|1670|1733|1370|1178|1688|1100|1196|1313|1082","1.93E-49","","hsa05204","4.679048498545737","0"
"215","55","Reactome Pathways","","Biological oxidations","8.46E-47","SULT2B1|GSTA3|CYP3A5|SULT1E1|GSTM2|AHR|UGT2A3|GSTM5|UGT2B10|CYP11B1|HPGDS|CYP2A6|CYP7A1|UGT1A6|UGT2B7|UGT1A1|UGT2B4|CYP2S1|CYP4A11|UGT2B17|AHRR|CYP2B6|CYP11B2|CYP2A13|UGT2B28|GSTA1|CYP3A7|UGT2B15|CYP1A2|UGT1A10|UGT1A9|GSTM3|GSTM4|GSTA4|GSTA5|CYP2C8|CYP4A22|UGT1A4|UGT1A5|UGT1A7|UGT1A8|CYP1A1|MGST1|CYP19A1|NCOA1|UGT2B11|NCOA2|UGT1A3|GSTA2|CYP2E1|NNMT|CYP1B1|MGST2|CYP26C1|CYP3A4","128","1163|1265|1088|1118|1301|2096|1679|1325|1700|1094|1319|1346|1226|1022|1034|1016|1718|1283|1694|1046|3986|1295|1070|1337|1706|1364|1205|1052|331|1058|1742|1289|1277|1307|1271|1724|1652|1028|1664|1760|1040|337|1331|310|2099|1670|2105|1733|1370|1178|1250|1100|1313|1631|1082","7.41E-50","","HSA-211859","4.607262963696098","0"
"64","37","KEGG Pathways","","Drug metabolism - cytochrome P450","2.59E-42","GSTA3|CYP3A5|GSTM2|UGT2A3|GSTM5|UGT2B10|HPGDS|CYP2A6|UGT1A6|UGT2B7|UGT1A1|UGT2B4|UGT2B17|CYP2B6|UGT2B28|GSTA1|UGT2B15|CYP1A2|UGT1A10|UGT1A9|GSTM3|GSTM4|GSTA4|GSTA5|CYP2C8|UGT1A4|UGT1A5|UGT1A7|UGT1A8|MGST1|UGT2B11|UGT1A3|GSTA2|CYP2E1|UGT2A2|MGST2|CYP3A4","128","1265|1088|1301|1679|1325|1700|1319|1346|1022|1034|1016|1718|1046|1295|1706|1364|1052|331|1058|1742|1289|1277|1307|1271|1724|1028|1664|1760|1040|1331|1670|1733|1370|1178|1688|1313|1082","3.86E-44","","hsa00982","4.158670023591875","0"
"5522","184","GO Molecular Function","","Catalytic activity","1.96E-41","HDAC7|HSD17B2|SULT2B1|SIRT4|GSTA3|CDK5RAP1|STS|USB1|DHDH|NAMPT|CYP3A5|SULT1E1|PRSS16|WARS2|NT5C1A|MMP8|GSTM2|AKR1D1|PLA2G12A|NT5C|CDADC1|ALOX12|UGT2A3|HSD17B7|GSTM5|TRIM45|NARS1|PSMB7|MMP20|MSMO1|PIK3R3|ASPA|DESI1|DCPS|SRD5A3|CAD|PI4K2B|PDE8B|BST1|UGT2B10|PELI2|SRD5A1|NARS2|PDE3B|MARS2|AKR1B1|PDE11A|FRRS1|PSMB4|CYP11B1|LTC4S|ALOX15|HPGDS|MELK|GNPTAB|CYP2A6|CYP7A1|ENTPD3|UGT1A6|DCXR|UGT2B7|UGT1A1|UGT2B4|ANKK1|CYP2S1|ADAT1|CYP4A11|EZH2|UGT2B17|PELI3|CYP2B6|METAP2|KARS1|CYP11B2|TPH2|UPP1|CYP2A13|UGT2B28|TMLHE|GSTA1|CYP3A7|TARS3|NT5C2|UGT2B15|CYP1A2|PTGES|UGT1A10|UGT1A9|WARS1|DHCR7|MMP23B|NT5C1B|NTRK3|GSTM3|PNP|HSD11B1|SOAT1|MMP21|THEM4|PI4KB|HSD3B1|GSTM4|CYP17A1|SARS1|IRAK1|GSTA4|GSTA5|CYP2C8|PARS2|ENTPD8|CYP4A22|UCK1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|ALOX5|PLA2G2D|NMRK1|PIK3CD|MMP26|AKR1C4|AKR1C3|AKR1C1|PITRM1|ASMT|IDI1|RAD1|NT5M|ASPDH|GARS1|RFC4|PRKAR1A|PDE8A|CDKL4|CYP1A1|TYMP|CDKL1|MGST1|CYP19A1|ADA2|NCOA1|PSMB11|UGT2B11|RNF212|NT5C3B|KDM4E|NAPRT|ENPP3|TOP2A|UGT1A3|GSTA2|NT5C1B-RDH14|CYP2E1|NNMT|ADK|HSD3B2|HSD17B6|AKT1|ACLY|SARS2-2|SARS2|MMP28|UPP2|UGT2A2|NT5C3A|SRD5A2|CYP1B1|NMRK2|MGST2|SSU72P4|SSU72P2|SSU72P3|SSU72P7|SSU72P5|SSU72P8|RAD51|PDE8B-2|HARS2|INPP5F|ENPP1|CYP26C1|CYP3A4|PIK3CB","128","217|1013|1163|1232|1265|400|1214|1451|1457|247|1088|1118|436|1886|1547|454|1301|1076|2216|1535|457|2291|1679|1124|1325|2471|1898|256|2549|2414|1508|2636|2537|487|1106|499|1496|2723|1256|1700|2843|1154|1913|2237|1943|283|3068|2816|259|1094|3128|2300|1319|1871|3266|1346|1226|3008|1022|3062|1034|1016|1718|2597|1283|3824|1694|220|1046|3980|1295|484|316|1070|2603|1982|1337|1706|490|1364|1205|1889|1559|1052|331|2228|1058|1742|325|1169|2822|1529|496|1289|250|352|472|2810|4991|418|1133|1277|1148|1925|295|1307|1271|1724|1937|1952|1652|475|1028|1664|1760|1040|358|361|1586|1520|2831|1463|286|1472|442|4607|466|5570|1553|2639|1904|373|403|2738|448|337|1973|5669|1331|310|1958|2099|1880|1670|5840|2003|430|1574|1235|268|1733|1370|1541|1178|1250|346|1142|1064|301|394|1919|1931|2837|1994|1688|2009|1112|1100|1568|1313|4715|4739|4727|4733|4709|4721|379|5654|319|1481|1241|1631|1082|1514","3.98E-45","","GO:0003824","4.070774392864353","0"
"74","36","KEGG Pathways","","Drug metabolism - other enzymes","4.08E-39","GSTA3|GSTM2|UGT2A3|GSTM5|UGT2B10|CYP2A6|UGT1A6|UGT2B7|UGT1A1|UGT2B4|UGT2B17|UPP1|UGT2B28|GSTA1|UGT2B15|UGT1A10|UGT1A9|GSTM3|GSTM4|GSTA4|GSTA5|UCK1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|TYMP|MGST1|UGT2B11|UGT1A3|GSTA2|CYP2E1|UPP2|UGT2A2|MGST2|CYP3A4","128","1265|1301|1679|1325|1700|1346|1022|1034|1016|1718|1046|1982|1706|1364|1052|1058|1742|1289|1277|1307|1271|475|1028|1664|1760|1040|1973|1331|1670|1733|1370|1178|1994|1688|1313|1082","7.29E-41","","hsa00983","3.8389339836910117","0"
"7988","213","GO Biological Process","","Metabolic process","1.13E-37","HDAC7|HSD17B2|SULT2B1|SIRT4|GSTA3|CDK5RAP1|STS|USB1|DHDH|PIK3R2|NAMPT|CYP3A5|SULT1E1|RAD51AP1|PRSS16|WARS2|NT5C1A|MMP8|GSTM2|AHR|AKR1D1|PLA2G12A|NT5C|CDADC1|ALOX12|UGT2A3|ABCB7|HSD17B7|GSTM5|TRIM45|NARS1|PSMB7|MMP20|MSMO1|PIK3R3|ASPA|DESI1|DCPS|SRD5A3|THRA|CAD|PI4K2B|PDE8B|UGT2B10|HPX|PELI2|SRD5A1|NARS2|MARS2|PLA2R1|AKR1B1|PDE11A|PSMB4|CYP11B1|LTC4S|ALOX15|HPGDS|TLR3|SPIDR|MELK|GNPTAB|PCLAF|CYP2A6|CYP7A1|ENTPD3|UGT1A6|DCXR|UGT2B7|UGT1A1|UGT2B4|ANKK1|CYP2S1|ADAT1|CYP4A11|SWI5|EZH2|UGT2B17|PELI3|AHRR|CYP2B6|METAP2|KARS1|CYP11B2|TPH2|UPP1|CYP2A13|UGT2B28|TMLHE|GSTA1|CYP3A7|PSMF1|TARS3|NT5C2|CIR1|UGT2B15|CYP1A2|PTGES|NOXA1|UGT1A10|CPSF4L|UGT1A9|WARS1|DHCR7|MMP23B|NT5C1B|NTRK3|GSTM3|PNP|DTL|HSD11B1|SOAT1|MMP21|THEM4|PI4KB|HSD3B1|SFR1|GSTM4|PCGF6|CYP17A1|SARS1|IRAK1|GSTA4|GSTA5|CYP2C8|PARS2|ENTPD8|CYP4A22|UCK1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|ALOX5|EIF2S2|PLA2G2D|NMRK1|PIK3CD|KIN|MMP26|AKR1C4|AKR1C3|AKR1C1|PITRM1|ASMT|IDI1|RAD1|NT5M|ASPDH|GARS1|RFC4|RAD9B|PRKAR1A|PDE8A|CDKL4|CYP1A1|TYMP|CDKL1|CYP19A1|THRB|ADA2|NCOA1|PSMB11|UGT2B11|RNF212|NT5C3B|KDM4E|NCOA2|NAPRT|ENPP3|EBNA1BP2|CHTF8|TOP2A|UGT1A3|GSTA2|AHRR-2|NT5C1B-RDH14|PHC1|CYP2E1|NNMT|ADK|HSD3B2|SNW1|HSD17B6|AKT1|ACLY|SARS2-2|SARS2|MMP28|UPP2|UGT2A2|NT5C3A|SRD5A2|CYP1B1|NMRK2|MGST2|CPSF1|EPOP|SSU72P4|SSU72P2|SSU72P3|SSU72P7|SSU72P5|SSU72P8|RAD51|PDE8B-2|HARS2|INPP5F|ENPP1|CYP26C1|MED19|CYP3A4|NR1H2|PIK3CB","128","217|1013|1163|1232|1265|400|1214|1451|1457|1478|247|1088|1118|1853|436|1886|1547|454|1301|2096|1076|2216|1535|457|2291|1679|478|1124|1325|2471|1898|256|2549|2414|1508|2636|2537|487|1106|274|499|1496|2723|1700|463|2843|1154|1913|1943|3053|283|3068|259|1094|3128|2300|1319|292|3239|1871|3266|2567|1346|1226|3008|1022|3062|1034|1016|1718|2597|1283|3824|1694|3899|220|1046|3980|3986|1295|484|316|1070|2603|1982|1337|1706|490|1364|1205|2531|1889|1559|4499|1052|331|2228|4649|1058|4706|1742|325|1169|2822|1529|496|1289|250|2561|352|472|2810|4991|418|1133|3905|1277|1382|1148|1925|295|1307|1271|1724|1937|1952|1652|475|1028|1664|1760|1040|358|481|361|1586|1520|5480|2831|1463|286|1472|442|4607|466|5570|1553|2639|1904|373|5579|403|2738|448|337|1973|5669|310|277|1958|2099|1880|1670|5840|2003|430|2105|1574|1235|460|5645|268|1733|1370|5675|1541|1388|1178|1250|346|1142|439|1064|301|394|1919|1931|2837|1994|1688|2009|1112|1100|1568|1313|433|3914|4715|4739|4727|4733|4709|4721|379|5654|319|1481|1241|1631|415|1082|412|1514","1.44E-41","","GO:0008152","3.6946921556516577","0"
"258","51","GO Biological Process","","Steroid metabolic process","1.13E-37","HSD17B2|SULT2B1|STS|CYP3A5|SULT1E1|AKR1D1|HSD17B7|MSMO1|SRD5A3|UGT2B10|SRD5A1|AKR1B1|CYP11B1|CYP2A6|CYP7A1|UGT2B7|UGT1A1|UGT2B4|UGT2B17|CYP2B6|CYP11B2|UGT2B28|CYP3A7|UGT2B15|CYP1A2|DHCR7|HSD11B1|SOAT1|HSD3B1|CYP17A1|CYP2C8|UGT1A4|UGT1A7|UGT1A8|AKR1C4|AKR1C3|AKR1C1|IDI1|CYP1A1|CYP19A1|UGT2B11|UGT1A3|CYP2E1|HSD3B2|HSD17B6|ACLY|UGT2A2|SRD5A2|CYP1B1|CYP26C1|CYP3A4","128","1013|1163|1214|1088|1118|1076|1124|2414|1106|1700|1154|283|1094|1346|1226|1034|1016|1718|1046|1295|1070|1706|1205|1052|331|1169|352|472|1133|1148|1724|1028|1760|1040|1463|286|1472|466|337|310|1670|1733|1178|1142|1064|394|1688|1112|1100|1631|1082","2.64E-41","","GO:0008202","3.6946921556516577","0"
"3181","138","GO Biological Process","","Organic cyclic compound metabolic process","1.13E-37","HSD17B2|SULT2B1|CDK5RAP1|STS|USB1|NAMPT|CYP3A5|SULT1E1|RAD51AP1|WARS2|NT5C1A|GSTM2|AKR1D1|NT5C|CDADC1|ALOX12|HSD17B7|NARS1|MSMO1|DCPS|SRD5A3|THRA|CAD|PDE8B|UGT2B10|HPX|SRD5A1|NARS2|MARS2|AKR1B1|CYP11B1|SPIDR|PCLAF|CYP2A6|CYP7A1|ENTPD3|UGT2B7|UGT1A1|UGT2B4|ADAT1|SWI5|EZH2|UGT2B17|CYP2B6|KARS1|CYP11B2|TPH2|UPP1|CYP2A13|UGT2B28|CYP3A7|TARS3|NT5C2|CIR1|UGT2B15|CYP1A2|CPSF4L|WARS1|DHCR7|NT5C1B|GSTM3|PNP|DTL|HSD11B1|SOAT1|HSD3B1|SFR1|GSTM4|CYP17A1|SARS1|CYP2C8|PARS2|ENTPD8|UCK1|UGT1A4|UGT1A7|UGT1A8|ALOX5|NMRK1|KIN|AKR1C4|AKR1C3|AKR1C1|ASMT|IDI1|RAD1|NT5M|ASPDH|GARS1|RFC4|RAD9B|PDE8A|CYP1A1|TYMP|CYP19A1|THRB|ADA2|NCOA1|UGT2B11|RNF212|NT5C3B|NCOA2|NAPRT|ENPP3|EBNA1BP2|CHTF8|TOP2A|UGT1A3|NT5C1B-RDH14|CYP2E1|NNMT|ADK|HSD3B2|SNW1|HSD17B6|ACLY|SARS2-2|SARS2|UPP2|UGT2A2|NT5C3A|SRD5A2|CYP1B1|NMRK2|CPSF1|SSU72P4|SSU72P2|SSU72P3|SSU72P7|SSU72P5|SSU72P8|RAD51|PDE8B-2|HARS2|ENPP1|CYP26C1|MED19|CYP3A4","128","1013|1163|400|1214|1451|247|1088|1118|1853|1886|1547|1301|1076|1535|457|2291|1124|1898|2414|487|1106|274|499|2723|1700|463|1154|1913|1943|283|1094|3239|2567|1346|1226|3008|1034|1016|1718|3824|3899|220|1046|1295|316|1070|2603|1982|1337|1706|1205|1889|1559|4499|1052|331|4706|325|1169|1529|1289|250|2561|352|472|1133|3905|1277|1148|1925|1724|1937|1952|475|1028|1760|1040|358|1586|5480|1463|286|1472|4607|466|5570|1553|2639|1904|373|5579|2738|337|1973|310|277|1958|2099|1670|5840|2003|2105|1574|1235|460|5645|268|1733|1541|1178|1250|346|1142|439|1064|394|1919|1931|1994|1688|2009|1112|1100|1568|433|4715|4739|4727|4733|4709|4721|379|5654|319|1241|1631|415|1082","1.62E-41","","GO:1901360","3.6946921556516577","0"
